description,courseNumber,departmentCode,courseTitle,avg_gpa,A_rate,B_rate,C_rate,D_rate,F_rate,W_rate,total_enrollment
"Provides an introduction to and review of federal, state and local workplace law. Focus is on the private sector.",460,MGMT,"Employment Law",2.90,41.00,23.00,23.00,0.00,10.00,5.00,22
"Racial and ethnic minorities in the United States bear an unequal burden of health problems. To understand these issues, one must increase their understanding of the multiple pathways in which race and ethnicity impact disparate health outcomes. Discussions and exercises focus on specific groups and how the patterns, causes and consequences of white privilege have persisted in American society over time and challenge one to begin to think about ways to address these health disparities.",340,HLTH,"Unequal Burdens in Health",4.00,96.00,0.00,0.00,0.00,0.00,4.00,25
"Learn to search the chemical literature, to manage information, to write scientific reports, to create scientific presentations and to present findings. Gain an introduction to scientific ethics as well as professional skills such as resume writing, job searching and networking.",301,CHEM,"Chemistry Seminar",3.69,77.00,16.00,8.00,0.00,0.00,0.00,13
"The second of a two-semester recommended experiential learning sequence to prepare Upper-Division Certificate in Fraud and Forensic Accounting Program graduates for their professional careers conducting fraud examinations. Directly perform investigations and assist with prosecutions of financial crime on behalf of the State of Maryland and the Commonwealth of Virginia on the Eastern Shore of the Chesapeake Bay. Work with prosecutors, police, deputy sheriffs and state troopers to investigate, prepare and charge suspects for misconduct involving financial crime of all varieties within the jurisdiction of state law enforcement. Plan and conduct interviews of victims, witnesses and suspects. In appropriate cases, gain actual experience testifying as to findings as fact or expert witnesses.",499,ACCT,"Fraud Examination Experiential Learning II",3.50,65.00,20.00,15.00,0.00,0.00,0.00,20
"Study of the production of television and film programs using single camera and editing techniques.",434,COMM,"Video Field Production",3.08,43.00,22.00,15.00,0.00,8.00,15.00,14
"Examines theories and concepts that highlight the role of communication in personal and intimate relationships. Additional emphasis is on the role of communication in the life-cycle of a relationship.",305,COMM,"Relational Communication",3.30,70.00,9.00,14.00,0.00,9.00,0.00,23
"Introduction to quantitative and qualitative methods of scientific inquiry. Gain experience in the use, interpretation and application of research to solve organizational, instructional and leadership problems in the field of outdoor education leadership.",385,ODEL,"Research in ODEL",2.94,24.00,59.00,12.00,0.00,6.00,0.00,17
"Study of vertebrate animal life, including evolution of the major vertebrate groups, zoogeography, behavior, reproduction, thermoregulation, migration, population dynamics, ecology and conservation. Field trips emphasize wildlife biology, and identification and natural history of local species.",320,BIOL,"Biology of The Vertebrates",2.92,25.00,42.00,34.00,0.00,0.00,0.00,12
"Study of selected topics in Latina/o literature (written in English). Such topics may include a specific region, national group, period, set of authors, theme, genre or issue.",371,ENGL,"Topics in Latina/o Literature",2.96,34.00,24.00,37.00,0.00,0.00,7.00,30
"An intensive study of one to three writers of major stature (choice to be made by the instructor).",410,ENGL,"Individual Authors",3.13,44.00,19.00,32.00,0.00,0.00,7.00,16
"Explore various topics related to food, cooking and food consumption in France. Learn about French traditions and habits when it comes to preparing, eating and talking about food. Discuss ethical, sociological and cultural issues specific to French cuisine, and compare the experience of the French and the American eater. Analyze the representations of and the symbolisms around food in French literature and culture. Taught in French.",324,FREN,"A Table! The French and Their Food",3.70,82.00,0.00,0.00,10.00,0.00,10.00,11
"Interdisciplinary investigation of how issues of racial inequality and justice are tied to environmental issues. Explores how BIPOC individuals and communities are at the frontlines of environmental and climate crises as well as the forefront of social change for justice and sustainability. Challenges white supremacy within environmentalism and environmental studies.",321,ENVR,"Race, Place and Nature",3.80,90.00,0.00,10.00,0.00,0.00,0.00,10
"Green infrastructure planning requires a systems approach to improving ecological function while providing vital ecosystem services for human populations. Learn the concepts, theories and applications of greenway and green infrastructure planning at multiple scales, including the site level, neighborhood and regional scales. Focus on the relationship of green infrastructure for improving hydrology and riparian corridors as part of comprehensive green space planning for recreation and cultural resources. Look at a wide range of systems, including water, transportation and food systems. Use a case study approach to study green infrastructure projects, both domestically and internationally, from a planning and policy perspective, as well as implementation.",357,ENVR,"Green Infrastructure Planning and Environmental Restoration",3.60,60.00,40.00,0.00,0.00,0.00,0.00,10
"Study and application of the most current aquatic standards and techniques with emphasis on professionalism, prevention, surveillance, victim recognition, equipment-based rescues, CPR and aquatic-specific first aid training. American Red Cross certification awarded to those who meet requirements.",203,ODEL,"Lifeguard Training",4.00,100.00,0.00,0.00,0.00,0.00,0.00,11
